Client,Station,Network,Channels,Location,Latitude,Longitude,Used by Buurman in her paper,Used in REDPy,N(picks) in 13 month AVO catalog,Use in EQcorrscan
IRIS,AU11,find in badger,"HHE, HHN, HHZ",,,,Yes,No,,
IRIS,AU12,find in badger,"HHE, HHN, HHZ",--,,,Yes,No,,yes
IRIS,AU13,find in badger,"HHE, HHN, HHZ",--,,,Yes,No,,yes
IRIS,AU14,find in badger,"HHE, HHN, HHZ",--,,,Yes,No,,yes
IRIS,AU15,find in badger,"HHE, HHN, HHZ",--,,,Yes,No,,yes
IRIS,AUE,AV,"EHZ, ELZ",--,59.3711,-153.3773,Yes,No,,
IRIS,AUH,AV,EHZ,--,59.3632,-153.4454,Yes,No,,yes
IRIS,AUI,AV,"EHE, EHN, EHZ",--,59.3345,-153.4299,Yes,No,,yes
IRIS,AUL,AV,"BHE, BHN, BHZ, EHZ",--,59.3816,-153.4379,Yes,No,,yes
IRIS,AUNW,AV,"EHZ, ELZ",--,59.3775,-153.479,Yes,No,,yes
IRIS,AUP,AV,EHZ,--,59.3627,-153.4226,Yes,No,,yes
IRIS,AUR,AV,EHZ,--,59.3621,-153.4335,Yes,No,,yes
IRIS,AUS,AV,EHZ,--,59.3593,-153.4329,Yes,No,,yes
IRIS,AUSE,AV,EHZ,--,59.3407,-153.3997,Yes,No,,yes
IRIS,AUW,AV,"BHE, BHN, BHZ, EHZ",--,59.3694,-153.473,Yes,No,,yes