"ID","Lon","Lat","Elev(ft)","Elev(m)"
1,-153.4300,59.1630,0.00,0.00
2,-153.4300,59.1650,0.00,0.00
3,-153.4300,59.1670,0.00,0.00
4,-153.4300,59.1690,0.00,0.00
5,-153.4300,59.1709,0.00,0.00
6,-153.4300,59.1729,0.00,0.00
7,-153.4300,59.1749,0.00,0.00
8,-153.4300,59.1769,0.00,0.00
9,-153.4300,59.1789,0.00,0.00
10,-153.4300,59.1809,0.00,0.00
11,-153.4300,59.1828,0.00,0.00
12,-153.4300,59.1848,0.00,0.00
13,-153.4300,59.1868,0.00,0.00
14,-153.4300,59.1888,0.00,0.00
15,-153.4300,59.1908,0.00,0.00
16,-153.4300,59.1928,0.00,0.00
17,-153.4300,59.1948,0.00,0.00
18,-153.4300,59.1967,0.00,0.00
19,-153.4300,59.1987,0.00,0.00
20,-153.4300,59.2007,0.00,0.00
21,-153.4300,59.2027,0.00,0.00
22,-153.4300,59.2047,0.00,0.00
23,-153.4300,59.2067,0.00,0.00
24,-153.4300,59.2087,0.00,0.00
25,-153.4300,59.2106,0.00,0.00
26,-153.4300,59.2126,0.00,0.00
27,-153.4300,59.2146,0.00,0.00
28,-153.4300,59.2166,0.00,0.00
29,-153.4300,59.2186,0.00,0.00
30,-153.4300,59.2206,0.00,0.00
31,-153.4300,59.2225,0.00,0.00
32,-153.4300,59.2245,0.00,0.00
33,-153.4300,59.2265,0.00,0.00
34,-153.4300,59.2285,0.00,0.00
35,-153.4300,59.2305,0.00,0.00
36,-153.4300,59.2325,0.00,0.00
37,-153.4300,59.2345,0.00,0.00
38,-153.4300,59.2364,0.00,0.00
39,-153.4300,59.2384,0.00,0.00
40,-153.4300,59.2404,0.00,0.00
41,-153.4300,59.2424,0.00,0.00
42,-153.4300,59.2444,0.00,0.00
43,-153.4300,59.2464,0.00,0.00
44,-153.4300,59.2484,0.00,0.00
45,-153.4300,59.2503,0.00,0.00
46,-153.4300,59.2523,0.00,0.00
47,-153.4300,59.2543,0.00,0.00
48,-153.4300,59.2563,0.00,0.00
49,-153.4300,59.2583,0.00,0.00
50,-153.4300,59.2603,0.00,0.00
51,-153.4300,59.2622,0.00,0.00
52,-153.4300,59.2642,0.00,0.00
53,-153.4300,59.2662,0.00,0.00
54,-153.4300,59.2682,0.00,0.00
55,-153.4300,59.2702,0.00,0.00
56,-153.4300,59.2722,0.00,0.00
57,-153.4300,59.2742,0.00,0.00
58,-153.4300,59.2761,0.00,0.00
59,-153.4300,59.2781,0.00,0.00
60,-153.4300,59.2801,0.00,0.00
61,-153.4300,59.2821,0.00,0.00
62,-153.4300,59.2841,0.00,0.00
63,-153.4300,59.2861,0.00,0.00
64,-153.4300,59.2881,0.00,0.00
65,-153.4300,59.2900,0.00,0.00
66,-153.4300,59.2920,0.00,0.00
67,-153.4300,59.2940,0.00,0.00
68,-153.4300,59.2960,0.00,0.00
69,-153.4300,59.2980,0.00,0.00
70,-153.4300,59.3000,0.00,0.00
71,-153.4300,59.3019,0.00,0.00
72,-153.4300,59.3039,0.00,0.00
73,-153.4300,59.3059,0.00,0.00
74,-153.4300,59.3079,0.00,0.00
75,-153.4300,59.3099,0.00,0.00
76,-153.4300,59.3119,0.00,0.00
77,-153.4300,59.3139,0.00,0.00
78,-153.4300,59.3158,0.00,0.00
79,-153.4300,59.3178,0.00,0.00
80,-153.4300,59.3198,0.00,0.00
81,-153.4300,59.3218,0.00,0.00
82,-153.4300,59.3238,0.00,0.00
83,-153.4300,59.3258,0.00,0.00
84,-153.4300,59.3277,143.52,43.74
85,-153.4300,59.3297,273.77,83.45
86,-153.4300,59.3317,458.67,139.80
87,-153.4300,59.3337,794.56,242.18
88,-153.4300,59.3357,988.74,301.37
89,-153.4300,59.3377,1147.32,349.70
90,-153.4300,59.3397,1230.48,375.05
91,-153.4300,59.3416,1396.62,425.69
92,-153.4300,59.3436,1537.58,468.65
93,-153.4300,59.3456,1685.75,513.82
94,-153.4300,59.3476,1761.65,536.95
95,-153.4300,59.3496,1939.40,591.13
96,-153.4300,59.3516,2197.55,669.81
97,-153.4300,59.3536,2685.89,818.66
98,-153.4300,59.3555,3236.93,986.62
99,-153.4300,59.3575,3818.93,1164.01
100,-153.4300,59.3595,4028.54,1227.90
101,-153.4300,59.3615,4124.01,1257.00
102,-153.4300,59.3635,3761.48,1146.50
103,-153.4300,59.3655,3257.35,992.84
104,-153.4300,59.3674,2732.70,832.93
105,-153.4300,59.3694,2401.32,731.92
106,-153.4300,59.3714,1964.87,598.89
107,-153.4300,59.3734,1748.80,533.03
108,-153.4300,59.3754,1555.14,474.01
109,-153.4300,59.3774,1360.61,414.71
110,-153.4300,59.3794,1182.21,360.34
111,-153.4300,59.3813,1036.86,316.03
112,-153.4300,59.3833,914.72,278.81
113,-153.4300,59.3853,778.96,237.43
114,-153.4300,59.3873,664.92,202.67
115,-153.4300,59.3893,561.54,171.16
116,-153.4300,59.3913,466.54,142.20
117,-153.4300,59.3933,384.22,117.11
118,-153.4300,59.3952,303.91,92.63
119,-153.4300,59.3972,221.58,67.54
120,-153.4300,59.3992,163.76,49.91
121,-153.4300,59.4012,112.28,34.22
122,-153.4300,59.4032,86.09,26.24
123,-153.4300,59.4052,66.47,20.26
124,-153.4300,59.4071,47.41,14.45
125,-153.4300,59.4091,24.11,7.35
126,-153.4300,59.4111,13.69,4.17
127,-153.4300,59.4131,0.00,0.00
128,-153.4300,59.4151,15.60,4.75
129,-153.4300,59.4171,3.88,1.18
130,-153.4300,59.4191,0.00,0.00
131,-153.4300,59.4210,0.00,0.00
132,-153.4300,59.4230,0.00,0.00
133,-153.4300,59.4250,0.00,0.00
134,-153.4300,59.4270,0.00,0.00
135,-153.4300,59.4290,0.00,0.00
136,-153.4300,59.4310,0.00,0.00
137,-153.4300,59.4329,0.00,0.00
138,-153.4300,59.4349,0.00,0.00
139,-153.4300,59.4369,0.00,0.00
140,-153.4300,59.4389,0.00,0.00
141,-153.4300,59.4409,0.00,0.00
142,-153.4300,59.4429,0.00,0.00
143,-153.4300,59.4449,0.00,0.00
144,-153.4300,59.4468,0.00,0.00
145,-153.4300,59.4488,0.00,0.00
146,-153.4300,59.4508,0.00,0.00
147,-153.4300,59.4528,0.00,0.00
148,-153.4300,59.4548,0.00,0.00
149,-153.4300,59.4568,0.00,0.00
150,-153.4300,59.4588,0.00,0.00
151,-153.4300,59.4607,0.00,0.00
152,-153.4300,59.4627,0.00,0.00
153,-153.4300,59.4647,0.00,0.00
154,-153.4300,59.4667,0.00,0.00
155,-153.4300,59.4687,0.00,0.00
156,-153.4300,59.4707,0.00,0.00
157,-153.4300,59.4726,0.00,0.00
158,-153.4300,59.4746,0.00,0.00
159,-153.4300,59.4766,0.00,0.00
160,-153.4300,59.4786,0.00,0.00
161,-153.4300,59.4806,0.00,0.00
162,-153.4300,59.4826,0.00,0.00
163,-153.4300,59.4846,0.00,0.00
164,-153.4300,59.4865,0.00,0.00
165,-153.4300,59.4885,0.00,0.00
166,-153.4300,59.4905,0.00,0.00
167,-153.4300,59.4925,0.00,0.00
168,-153.4300,59.4945,0.00,0.00
169,-153.4300,59.4965,0.00,0.00
170,-153.4300,59.4985,0.00,0.00
171,-153.4300,59.5004,0.00,0.00
172,-153.4300,59.5024,0.00,0.00
173,-153.4300,59.5044,0.00,0.00
174,-153.4300,59.5064,0.00,0.00
175,-153.4300,59.5084,0.00,0.00
176,-153.4300,59.5104,0.00,0.00
177,-153.4300,59.5123,0.00,0.00
178,-153.4300,59.5143,0.00,0.00
179,-153.4300,59.5163,0.00,0.00
180,-153.4300,59.5183,0.00,0.00
181,-153.4300,59.5203,0.00,0.00
182,-153.4300,59.5223,0.00,0.00
183,-153.4300,59.5243,0.00,0.00
184,-153.4300,59.5262,0.00,0.00
185,-153.4300,59.5282,0.00,0.00
186,-153.4300,59.5302,0.00,0.00
187,-153.4300,59.5322,0.00,0.00
188,-153.4300,59.5342,0.00,0.00
189,-153.4300,59.5362,0.00,0.00
190,-153.4300,59.5382,0.00,0.00
191,-153.4300,59.5401,0.00,0.00
192,-153.4300,59.5421,0.00,0.00
193,-153.4300,59.5441,0.00,0.00
194,-153.4300,59.5461,0.00,0.00
195,-153.4300,59.5481,0.00,0.00
196,-153.4300,59.5501,0.00,0.00
197,-153.4300,59.5520,0.00,0.00
198,-153.4300,59.5540,0.00,0.00
199,-153.4300,59.5560,0.00,0.00
200,-153.4300,59.5580,0.00,0.00
