Client,Station,Network,Channels,Location,Latitude,Longitude,Used by Alicia in her paper,Downloaded,Used in REDPy,N(picks) in 4 month NCEDC catalog,Use in EQcorrscan
NCEDC,MINS,NC,"HHZ, HHE, HHN",--,37.6538,-119.0609,yes,yes,yes,1355,yes
NCEDC,MDPB,NC,"HHZ, HHE, HHN",--,37.6323,-119.0794,yes,yes,yes,888,yes
IRIS,OMMB,NN,"HHZ, HHE, HHN",--,37.6131,-119.0005,yes,yes,yes,797,yes
NCEDC,MRD,NC,EHZ,02,37.5978,-119.0587,yes,yes,yes,776,yes
NCEDC,MDC,NC,EHZ,02,37.7097,-119.0418,yes,yes,yes,726,yes
NCEDC,MCM,NC,EHZ,02,37.6092,-118.8734,yes,yes,yes,454,yes
NCEDC,MMP,NC,EHZ,--,37.6097,-119.0287,yes,yes,yes,394,yes
NCEDC,MLC,NC,EHZ,--,37.6121,-118.9153,yes,yes,yes,356,yes
NCEDC,MCV,NC,EHZ,--,37.59,-118.8291,yes,yes,yes,317,yes
IRIS,MB01,8E,"HHZ, HHE, HHN",--,37.628,-119.0304,yes,yes,yes,0,yes
IRIS,MB02,8E,"HHZ, HHE, HHN",--,37.6292,-119.0377,yes,yes,yes,0,yes
IRIS,MB03,8E,"HHZ, HHE, HHN",--,37.6389,-119.0339,yes,yes,yes,0,yes
IRIS,MB05,8E,"HHZ, HHE, HHN",--,37.6184,-119.0273,yes,yes,yes,0,yes
IRIS,MB06,8E,"HHZ, HHE, HHN",--,37.6165,-119.0477,yes,yes,yes,0,yes
IRIS,MB07,8E,"HHZ, HHE, HHN",--,37.6339,-119.0468,yes,yes,yes,0,yes
IRIS,MB08,8E,"HHZ, HHE, HHN",--,37.6457,-119.0286,yes,yes,yes,0,yes
IRIS,MB09,8E,"HHZ, HHE, HHN",--,37.6328,-119.0045,yes,yes,yes,0,yes
IRIS,MB10,8E,"HHZ, HHE, HHN",--,37.6433,-119.0582,yes,yes,yes,0,yes
IRIS,MB11,8E,"HHZ, HHE, HHN",--,37.6114,-119.021,yes,yes,yes,0,yes
NCEDC,MQ1P,NC,"EHZ, EHE, EHN",--,37.6128,-119.0213,no,yes,yes,774,yes
NCEDC,MMS,NC,EHZ,--,37.6304,-119.0317,no,yes,yes,549,yes
NCEDC,MCY,NC,"EHZ, EHE, EHN",--,37.6429,-119.0291,no,yes,yes,507,yes
NCEDC,MDY,NC,"HHZ, HHE, HHN",--,37.658,-119.0122,no,yes,yes,364,yes
NCEDC,MLI,NC,"HHZ, HHE, HHN",--,37.6368,-119.0179,no,yes,yes,285,yes
NCEDC,MGPB,NC,EHZ,--,37.6261,-118.9029,no,yes,yes,222,yes
NCEDC,MLK,NC,EHZ,--,37.6641,-118.9765,no,yes,yes,143,yes
NCEDC,MEM,NC,EHZ,--,37.666,-118.9398,no,yes,yes,129,yes
NCEDC,MDR,NC,EHZ,02,37.638,-118.8359,no,yes,yes,124,yes
NCEDC,MMLB,NC,"HHZ, HHE, HHN",--,37.6591,-118.9791,no,yes,yes,118,yes
NCEDC,MCB,NC,"HHZ, HHE, HHN",--,37.6444,-118.8968,no,yes,yes,85,yes
IRIS,MLAC,CI,"HHZ, HHE, HHN",--,37.6302,-118.8361,no,yes,yes,43,yes
NCEDC,MCS,NC,EHZ,--,37.6549,-118.9058,no,yes,no,33,no
NCEDC,MLH,NC,EHZ,--,37.6786,-118.815,no,yes,no,16,no
NCEDC,MLM,NC,EHZ,--,37.728,-118.9469,no,yes,no,8,no
IRIS,MB04,8E,"HHZ, HHE, HHN",--,37.6302,-119.017,yes,yes,no,0,no
NCEDC,MDP1,NC,EP? ,--,37.6325,-119.0797,no,yes,no,354,no
NCEDC,MMX1,NC,"EP?, HN?",--,37.6171,-118.9598,no,yes,no,240,no
NCEDC,MBS1,NC,"EP1, EP2",--,37.761,-118.9445,no,yes,no,80,no
NCEDC,MDH1,NC,"DP1, DP2",--,37.6798,-118.9088,no,yes,no,65,no
NCEDC,MSL,NC,?,?,37.6167,-118.9566,yes,yes,no,0,no
NCEDC,MCO,NC,?,?,37.619,-118.863,no,yes,no,0,no