Station,Network,Channels,Location,Downloaded,Used in REDPy,N(picks) in 4 month NCEDC catalog,Use in EQcorrscan
MINS,NC,"HHZ, HHE, HHN",--,yes,yes,1355,yes
MDPB,NC,"HHZ, HHE, HHN",--,yes,yes,888,yes
OMMB,NN,"HHZ, HHE, HHN",--,yes,yes,797,yes
MRD,NC,EHZ,02,yes,yes,776,yes
MDC,NC,EHZ,02,yes,yes,726,yes
MCM,NC,EHZ,02,yes,yes,454,yes
MMP,NC,EHZ,--,yes,yes,394,yes
MLC,NC,EHZ,--,yes,yes,356,yes
MCV,NC,EHZ,--,yes,yes,317,yes
MB01,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB02,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB03,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB05,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB06,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB07,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB08,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB09,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB10,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MB11,8E,"HHZ, HHE, HHN",--,yes,yes,0,yes
MQ1P,NC,"EHZ, EHE, EHN",--,yes,no,774,no
MMS,NC,EHZ,--,yes,no,549,no
MCY,NC,"EHZ, EHE, EHN",--,yes,no,507,no
MDY,NC,"HHZ, HHE, HHN",--,yes,no,364,no
MLI,NC,"HHZ, HHE, HHN",--,yes,no,285,no
MGPB,NC,EHZ,--,yes,no,222,no
MLK,NC,EHZ,--,yes,no,143,no
MEM,NC,EHZ,--,yes,no,129,no
MDR,NC,EHZ,02,yes,no,124,no
MMLB,NC,"HHZ, HHE, HHN",--,yes,no,118,no
MCB,NC,"HHZ, HHE, HHN",--,yes,no,85,no
MLAC,CI,"HHZ, HHE, HHN",--,yes,no,43,no
MCS,NC,EHZ,--,yes,no,33,no
MLH,NC,EHZ,--,yes,no,16,no
MLM,NC,EHZ,--,yes,no,8,no
MB04,8E,"HHZ, HHE, HHN",--,yes,no,0,yes
MDP1,NC,EP? ,--,no,no,354,no
MMX1,NC,"EP?, HN?",--,no,no,240,no
MBS1,NC,"EP1, EP2",--,no,no,80,no
MDH1,NC,"DP1, DP2",--,no,no,65,no
MSL,NC,?,?,no,no,0,yes
MCO,NC,?,?,no,no,0,no