color,alert,year,month,day,hh,mm,utc_shift
green,normal,2008,10,3,10,37,-9
yellow,advisory,2008,11,5,14,52,-9
orange,watch,2009,1,25,2,9,-9
yellow,advisory,2009,3,10,9,56,-8
orange,watch,2009,3,15,14,50,-8
yellow,advisory,2009,3,18,9,41,-8
orange,watch,2009,3,21,22,9,-8
red,warning,2009,3,22,22,56,-8
orange,watch,2009,3,25,13,35,-8
red,warning,2009,3,26,8,56,-8
orange,watch,2009,4,3,11,44,-8
red,watch,2009,4,4,6,35,-8
red,warning,2009,4,4,6,51,-8
orange,watch,2009,4,6,14,55,-8
yellow,advisory,2009,6,30,10,20,-8
green,normal,2009,9,29,10,44,-8
yellow,advisory,2009,12,28,9,53,-9
green,normal,2010,1,5,15,32,-9
yellow,advisory,2010,4,5,10,59,-8
green,normal,2010,4,12,12,10,-8